"ID","Author Name","Author Channel URL","Public","Published","Comment","Likes","Comment URL"
"UgwKvgve0enbbqNupLV4AaABAg","Renata Queiroz de Azevedo","https://www.youtube.com/channel/UCEjZ1nTKJxIu7qOdNPTmF9A","true","2020-03-18 11:13:20","Muito  doido","0","https://www.youtube.com/watch?v=Sx9ibZLwVNE&lc=UgwKvgve0enbbqNupLV4AaABAg"
"UgziC1vRjdfEhCBlfKl4AaABAg","Bendzes","https://www.youtube.com/channel/UCj9Ppld9Ro5HR0UUT4AtKmA","true","2020-03-18 11:13:20","I love samsung","0","https://www.youtube.com/watch?v=Sx9ibZLwVNE&lc=UgziC1vRjdfEhCBlfKl4AaABAg"
"Ugw6wrICTp9GaGohNf14AaABAg","YoZarro","https://www.youtube.com/channel/UCrsdIYTxt2fZd-zoO439RUA","true","2020-03-18 11:13:20","First Fold: *BRAKE*","0","https://www.youtube.com/watch?v=Sx9ibZLwVNE&lc=Ugw6wrICTp9GaGohNf14AaABAg"
"UgzVBirgxVSiNXRAPNJ4AaABAg","HafizaHusairi","https://www.youtube.com/channel/UCJAnnuNNgrC-RnMfCm5Lz3Q","true","2020-03-18 11:13:20","Wow, after motorola 🤭","1","https://www.youtube.com/watch?v=Sx9ibZLwVNE&lc=UgzVBirgxVSiNXRAPNJ4AaABAg"
"Ugx88dSDMqlXeG5gOYR4AaABAg","ChipChapChop","https://www.youtube.com/channel/UCg6JR3UOC3r5oNKQkycBtZQ","true","2020-03-18 11:13:20","This marketing is pretty amusing. Cute phone, too.","200","https://www.youtube.com/watch?v=Sx9ibZLwVNE&lc=Ugx88dSDMqlXeG5gOYR4AaABAg"
"UgypVyoTm18EnFADL4l4AaABAg","kacadrema","https://www.youtube.com/channel/UCmJu05Rf-vYZGVE939Npo3A","true","2020-03-18 11:13:20","Razr still looks miles better, it has a character.","0","https://www.youtube.com/watch?v=Sx9ibZLwVNE&lc=UgypVyoTm18EnFADL4l4AaABAg"
"UgxOi0ownxvxy6A99p94AaABAg","The Dark Ray","https://www.youtube.com/channel/UCGT82HMqQfpbJaDXP3Yjd6Q","true","2020-03-18 11:13:20","""Galaxy Z Flip is a breakthrough""


yeah, breakthrough my wallet!


sorry for the joke...","4","https://www.youtube.com/watch?v=Sx9ibZLwVNE&lc=UgxOi0ownxvxy6A99p94AaABAg"
"UgzaLRtSm-hDOJ3uhY94AaABAg","TLOU 2","https://www.youtube.com/channel/UCm78-6_Ca7gXRyfZ_UJ96oQ","true","2020-03-18 11:13:20","Those bezels are fat, like really fat 🥴","0","https://www.youtube.com/watch?v=Sx9ibZLwVNE&lc=UgzaLRtSm-hDOJ3uhY94AaABAg"
"UgzJ_Jp9aAg44O7rgs94AaABAg","Ernesto Olvera","https://www.youtube.com/channel/UC09CD4ILIV0OYwxLF4SIJdg","true","2020-03-18 11:13:20","That’s one advance game boy!","26","https://www.youtube.com/watch?v=Sx9ibZLwVNE&lc=UgzJ_Jp9aAg44O7rgs94AaABAg"
"Ugx5jGp2lWsTSdRuEOt4AaABAg","Daniel Santosa","https://www.youtube.com/channel/UCR_5GgZf1FUXWBn-4qdLG0w","true","2020-03-18 11:13:20","Amazinngggg!","0","https://www.youtube.com/watch?v=Sx9ibZLwVNE&lc=Ugx5jGp2lWsTSdRuEOt4AaABAg"
